MODELLO,LAYER,Cosine_AA_vs_AP,Cosine_AA_vs_PI,Cosine_AP_vs_PI
codellama/CodeLlama-7b-Instruct-hf,18,0.536209225654602,0.2654315233230591,0.4032679200172424
codellama/CodeLlama-7b-Instruct-hf,19,0.5653185248374939,0.2576665878295898,0.405369758605957
codellama/CodeLlama-7b-Instruct-hf,20,0.5554393529891968,0.2503834366798401,0.4093238711357116
codellama/CodeLlama-7b-Instruct-hf,21,0.5448764562606812,0.2520994544029236,0.4130217730998993
codellama/CodeLlama-7b-Instruct-hf,22,0.5556253790855408,0.2621670067310333,0.4046695232391357
codellama/CodeLlama-7b-Instruct-hf,23,0.5465478897094727,0.23514224588871,0.3876065015792846
codellama/CodeLlama-7b-Instruct-hf,24,0.5392252206802368,0.2388693690299987,0.4013278782367706
codellama/CodeLlama-7b-Instruct-hf,25,0.5414971709251404,0.2473660260438919,0.39972785115242
codellama/CodeLlama-7b-Instruct-hf,26,0.5330102443695068,0.2517143189907074,0.4042839705944061
codellama/CodeLlama-7b-Instruct-hf,27,0.5569665431976318,0.2719745337963104,0.4074779748916626
codellama/CodeLlama-7b-Instruct-hf,28,0.5781069397926331,0.2742026150226593,0.4152878522872925
codellama/CodeLlama-7b-Instruct-hf,29,0.5903558731079102,0.2722814679145813,0.4173109233379364
codellama/CodeLlama-7b-Instruct-hf,30,0.592846691608429,0.2935082912445068,0.4238248467445373
codellama/CodeLlama-7b-Instruct-hf,31,0.589591920375824,0.3276050686836242,0.4673847258090973
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,0.4101863503456116,-0.0130718555301427,0.1116783916950225
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,0.4199341237545013,0.110242985188961,0.2336481809616089
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,2,0.4176949262619018,0.1624316424131393,0.4003790616989136
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,0.5288708806037903,0.2357056885957718,0.5689551830291748
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,4,0.5355449318885803,0.2220644652843475,0.5340641736984253
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,5,0.5365874171257019,0.2351325154304504,0.4533457458019256
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,6,0.5860903859138489,0.2077286094427108,0.4070161581039428
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7,0.6485673785209656,0.2139073014259338,0.3836403489112854
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,8,0.6435461640357971,0.2265093624591827,0.3848067820072174
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,9,0.6628797650337219,0.1341637670993805,0.2525519728660583
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,10,0.6638246774673462,0.1213391572237014,0.2511251866817474
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,0.6848931312561035,0.0987302362918853,0.2369288355112075
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,12,0.6689228415489197,0.1141112446784973,0.2474764734506607
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,13,0.6794857978820801,0.1808144003152847,0.3245149552822113
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,0.6732335090637207,0.1527820378541946,0.2778476476669311
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,15,0.6457818150520325,0.1530574262142181,0.2677711844444275
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.6616654396057129,0.2111115753650665,0.3209405839443207
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,17,0.6498235464096069,0.1892063021659851,0.3091119229793548
