id_snippet,modello,layer_locus,cos_sim_stesso_layer,cos_sim_penultimo_layer
207,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2130126953125
208,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1939697265625
209,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1876220703125
210,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2005615234375
211,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1759033203125
212,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2093505859375
213,meta-llama/Llama-3.1-8B-Instruct,15,,-0.212646484375
214,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2030029296875
215,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1695556640625
216,meta-llama/Llama-3.1-8B-Instruct,15,,-0.197265625
217,meta-llama/Llama-3.1-8B-Instruct,15,,-0.21337890625
218,meta-llama/Llama-3.1-8B-Instruct,15,,-0.173095703125
219,meta-llama/Llama-3.1-8B-Instruct,15,,-0.201904296875
221,meta-llama/Llama-3.1-8B-Instruct,15,,-0.16748046875
222,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2022705078125
223,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2158203125
225,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1865234375
226,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1925048828125
227,meta-llama/Llama-3.1-8B-Instruct,15,,-0.179443359375
228,meta-llama/Llama-3.1-8B-Instruct,15,,-0.19482421875
229,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1668701171875
230,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1754150390625
231,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1932373046875
232,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1829833984375
234,meta-llama/Llama-3.1-8B-Instruct,15,,-0.218994140625
235,meta-llama/Llama-3.1-8B-Instruct,15,,-0.16064453125
236,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2137451171875
237,meta-llama/Llama-3.1-8B-Instruct,15,,-0.17822265625
238,meta-llama/Llama-3.1-8B-Instruct,15,,-0.16357421875
239,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2021484375
240,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2071533203125
243,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1810302734375
244,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1737060546875
245,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1851806640625
246,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1668701171875
247,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1986083984375
248,meta-llama/Llama-3.1-8B-Instruct,15,,-0.207275390625
249,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1883544921875
250,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1689453125
251,meta-llama/Llama-3.1-8B-Instruct,15,,-0.21044921875
252,meta-llama/Llama-3.1-8B-Instruct,15,,-0.212890625
253,meta-llama/Llama-3.1-8B-Instruct,15,,-0.177734375
254,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1795654296875
255,meta-llama/Llama-3.1-8B-Instruct,15,,-0.19384765625
