id_snippet,modello,layer_analizzato,cosine_similarity_AA_vs_AP,valore_assoluto
185,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.65380859375,0.65380859375
189,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.6162109375,0.6162109375
205,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.38037109375,0.38037109375
212,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.57666015625,0.57666015625
215,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.68115234375,0.68115234375
216,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.5263671875,0.5263671875
239,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.63916015625,0.63916015625
243,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.54541015625,0.54541015625
246,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.7216796875,0.7216796875
253,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.720703125,0.720703125
255,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.390380859375,0.390380859375
1,deepseek-ai/deepseek-coder-6.7b-instruct,16,0.7373046875,0.7373046875
4,deepseek-ai/deepseek-coder-6.7b-instruct,16,0.69775390625,0.69775390625
6,deepseek-ai/deepseek-coder-6.7b-instruct,16,0.64599609375,0.64599609375
