MODELLO,LAYER,Cosine_AA_vs_AP,Cosine_AA_vs_PI,Cosine_AP_vs_PI
codellama/CodeLlama-7b-Instruct-hf,24,0.634209930896759,,
codellama/CodeLlama-7b-Instruct-hf,25,0.6260225772857666,,
codellama/CodeLlama-7b-Instruct-hf,26,0.6326075792312622,,
codellama/CodeLlama-7b-Instruct-hf,27,0.6209596395492554,,
codellama/CodeLlama-7b-Instruct-hf,28,0.6326636075973511,,
codellama/CodeLlama-7b-Instruct-hf,29,0.653570294380188,,
codellama/CodeLlama-7b-Instruct-hf,30,0.6652045249938965,,
codellama/CodeLlama-7b-Instruct-hf,31,0.6667267680168152,,
codellama/CodeLlama-7b-Instruct-hf,32,0.6817504167556763,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,0.0,0.0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,0.4314911961555481,0.01975668966770172,0.13586725294589996
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,2,0.4358910024166107,0.11826688796281815,0.2506037950515747
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,0.4202862083911896,0.1599452942609787,0.4148947596549988
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,4,0.5401684641838074,0.251903235912323,0.5870231986045837
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,5,0.5486961007118225,0.2360502928495407,0.5486255288124084
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,6,0.5459980964660645,0.24101880192756653,0.46681612730026245
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7,0.5935199856758118,0.21041671931743622,0.41737043857574463
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,8,0.6523215174674988,0.20167313516139984,0.39175930619239807
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,9,0.6494671106338501,0.21461454033851624,0.3947322368621826
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,10,0.673823893070221,0.10774879902601242,0.2698783278465271
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,0.6712810397148132,0.08599401265382767,0.2641655504703522
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,12,0.6840189695358276,0.06933284550905228,0.25663867592811584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,13,0.6633913516998291,0.09350702166557312,0.2714966833591461
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,0.6675617694854736,0.17438673973083496,0.36935922503471375
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,15,0.6479679346084595,0.1548275351524353,0.3343541920185089
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.6188955903053284,0.161491259932518,0.32618027925491333
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,17,0.627321720123291,0.22606423497200012,0.38234299421310425
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,18,0.6179687976837158,0.20961785316467285,0.37293335795402527
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.6132573485374451,0.22569414973258972,0.3625314235687256
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,20,0.6091926097869873,0.25685539841651917,0.3802332878112793
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,21,0.6117360591888428,0.24583899974822998,0.38996022939682007
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,22,0.603389322757721,0.22982722520828247,0.38685786724090576
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,23,0.5727326273918152,0.19562242925167084,0.3647720217704773
