MODELLO,LAYER,Delta_AA,Delta_PI,Delta_AP,Base_AA,Base_PI,Base_AP
codellama/CodeLlama-7b-Instruct-hf,22,-0.70703125,-5.6021513819095485,-1.6370192307692313,-3.15234375,-2.6501256281407035,-2.8882211538461537
codellama/CodeLlama-7b-Instruct-hf,23,-1.0859375,-6.081108668341709,-1.8100961538461533,-5.203125,-4.774144158291457,-4.888221153846154
codellama/CodeLlama-7b-Instruct-hf,24,-1.05859375,-6.14058574120603,-1.6526442307692308,-4.92578125,-4.436989635678392,-4.515925480769231
codellama/CodeLlama-7b-Instruct-hf,25,-1.044270833333333,-5.744503768844222,-1.624098557692308,-3.86328125,-3.4254082914572863,-3.5330528846153846
codellama/CodeLlama-7b-Instruct-hf,26,-0.9661458333333335,-5.396553077889447,-1.5015024038461537,-3.7747395833333335,-3.3409626256281406,-3.4281850961538463
codellama/CodeLlama-7b-Instruct-hf,27,-0.875,-5.859571293969849,-1.6802884615384612,-1.796875,-1.2824277638190955,-1.4086538461538463
codellama/CodeLlama-7b-Instruct-hf,28,-0.8098958333333333,-5.741991206030151,-1.6003605769230769,-1.6380208333333333,-1.1314384422110553,-1.2584134615384615
codellama/CodeLlama-7b-Instruct-hf,29,-0.7656250000000001,-5.291614321608041,-1.4038461538461537,-0.8541666666666666,-0.3376256281407035,-0.4573317307692308
codellama/CodeLlama-7b-Instruct-hf,30,-0.5260416666666665,-4.239949748743719,-1.0727163461538463,-0.4947916666666667,-0.06383479899497488,-0.14723557692307693
codellama/CodeLlama-7b-Instruct-hf,31,-0.3854166666666667,-3.057788944723618,-0.7536057692307693,0.4869791666666667,0.7653894472361809,0.6977163461538461
codellama/CodeLlama-7b-Instruct-hf,32,-0.3125,-2.493954145728643,-0.748798076923077,0.044270833333333336,0.24065640703517588,0.1778846153846154
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,0.0,0.0,0.0,-3.31396484375,-3.31396484375,-3.31396484375
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,0.1790212548297383,-0.0018704414367674005,0.0375813266687226,-2.0114533797554346,-2.1580177307128907,-2.1267243770130895
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,2,0.13930644159731664,0.015035465785435242,0.02611996834738206,-1.1725437330163044,-1.3994027273995535,-1.3455339398300439
