MODELLO,LAYER,Baseline_Vanilla (S_base - V_base),AA_Overshooting (S_AA - S_base),AA_Forza (S_AA - V_base),AA_Confine (S_AA - V_AA),PI_Overshooting (S_PI - S_base),PI_Forza (S_PI - V_base),PI_Confine (S_PI - V_PI),AP_Overshooting (S_AP - S_base),AP_Forza (S_AP - V_base),AP_Confine (S_AP - V_AP),Steering_Overshooting (S_Steering - S_base),Steering_Forza (S_Steering - V_base),Steering_Confine (S_Steering - V_Steering),AA (S_base - V_AA),AA (V_base - V_AA),PI (S_base - V_PI),PI (V_base - V_PI),AP (S_base - V_AP),AP (V_base - V_AP),Sbase-Vsteering (S_base - V_Steering),Steering_Overshooting (V_base - V_Steering)
Qwen/Qwen2.5-Coder-7B-Instruct,26,19.5,45.38,39.84,13.23,81.1,82.75,19.7,39.94,40.34,26.27,45.72,59.12,,47.38,39.5,78.1,78.75,49,40.1,,
Qwen/Qwen2.5-Coder-7B-Instruct,27,5.727,13.46,11.625,3.863,25.36,25.53,5.754,12.31,12.04,7.04,12.87,16.77,,14.15,11.69,24.36,24.27,14.74,12.09,,
meta-llama/Llama-3.1-8B-Instruct,0,0.0375,0.0987,0.09094,0.05438,0.10876,0.10443,0.01985,,,,0.0399,0.003767,0.02588,0.0896,0.06866,0.1108,0.1012,0.129,0.1288,0.03802,0.02249
meta-llama/Llama-3.1-8B-Instruct,1,0.05722,0.134,0.1189,0.0773,0.1833,0.1776,0.02957,,,,0.06076,0.005375,0.03574,0.1294,0.0937,0.1864,0.1733,0.1866,0.1818,0.05692,0.03102
meta-llama/Llama-3.1-8B-Instruct,2,0.0918,0.2019,0.1676,0.12256,0.2634,0.2542,0.04953,,,,0.0965,0.007866,0.05295,0.2103,0.1459,0.2717,0.2487,0.3179,0.297,0.09503,0.04614
meta-llama/Llama-3.1-8B-Instruct,3,0.1464,0.3145,0.2435,0.176,0.398,0.3855,0.0748,,,,0.1516,0.0108,0.07495,0.3313,0.2203,0.4119,0.3772,0.465,0.4253,0.1614,0.06604
meta-llama/Llama-3.1-8B-Instruct,4,0.1941,0.4165,0.3176,0.254,0.553,0.513,0.1085,,,,0.2001,0.01398,0.10095,0.4521,0.3076,0.5845,0.517,0.6133,0.5415,0.2175,0.0891
meta-llama/Llama-3.1-8B-Instruct,5,0.2415,0.509,0.3757,0.3076,0.663,0.6084,0.143,,,,0.2491,0.01703,0.11993,0.545,0.3623,0.703,0.6133,0.7563,0.6445,0.261,0.1055
meta-llama/Llama-3.1-8B-Instruct,6,0.272,0.5757,0.406,0.324,0.679,0.6016,0.169,,,,0.2817,0.01828,0.1175,0.623,0.4072,0.733,0.6104,0.8223,0.677,0.283,0.10284
meta-llama/Llama-3.1-8B-Instruct,7,0.3418,0.6914,0.4722,0.3916,0.845,0.715,0.219,,,,0.3533,0.0209,0.1335,0.797,0.515,0.927,0.7397,1.11,0.902,0.3586,0.118
meta-llama/Llama-3.1-8B-Instruct,8,0.3557,0.7466,0.528,0.409,0.967,0.8145,0.2365,,,,0.3672,0.02295,0.1526,0.8433,0.562,1.031,0.8247,1.181,0.9453,0.3723,0.1353
meta-llama/Llama-3.1-8B-Instruct,9,0.3953,0.848,0.633,0.4812,1.181,1.023,0.2537,,,,0.4053,0.02579,0.177,0.922,0.622,1.239,1.028,1.338,1.063,0.424,0.157
meta-llama/Llama-3.1-8B-Instruct,10,0.3962,0.8584,0.666,0.514,1.177,1.027,0.2534,,,,0.4033,0.02588,0.1875,0.9336,0.6396,1.23,1.027,1.368,1.094,0.4434,0.1672
meta-llama/Llama-3.1-8B-Instruct,11,0.3792,0.827,0.6523,0.5054,1.158,1.004,0.2478,,,,0.385,0.02501,0.1901,0.913,0.638,1.206,1.003,1.297,1.04,0.4307,0.1704
meta-llama/Llama-3.1-8B-Instruct,12,0.423,0.956,0.7715,0.54,1.177,1.031,0.291,,,,0.4282,0.02925,0.2292,1.003,0.7104,1.249,1.038,1.343,1.083,0.5107,0.2067
meta-llama/Llama-3.1-8B-Instruct,13,0.4856,1.165,0.9634,0.612,1.408,1.3125,0.3538,,,,0.4893,0.03513,0.2856,1.107,0.789,1.481,1.309,1.388,1.112,0.62,0.2585
meta-llama/Llama-3.1-8B-Instruct,14,0.6177,1.362,1.165,0.7725,2.057,2.049,0.456,,,,0.621,0.04312,0.3584,1.283,0.891,2.064,1.967,1.542,1.25,0.8184,0.3262
meta-llama/Llama-3.1-8B-Instruct,15,0.788,1.513,1.272,0.816,2.254,2.18,0.511,,,,0.79,0.05365,0.4653,1.5,1.01,2.33,2.127,1.74,1.377,1.077,0.4255
meta-llama/Llama-3.1-8B-Instruct,16,0.935,1.764,1.477,0.895,2.467,2.26,0.5728,,,,2.572,3.465,0.6143,1.814,1.234,2.652,2.295,2.018,1.531,2.248,3.127
